DATASET,GAME-ID,DATE,PLAYER-ID,FULL NAME,POSITION,OWNTEAM,OPPONENTTEAM,VENUE,STARTER,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,USAGERATE,REST[1]
NBA 2018-2019 Regular Season,21800001,10/16/2018,203967,Dario Saric,F,Philadelphia,Boston,R,Y,22.9,3,8,0,4,0,0,0,6,6,1,5,0,3,0,6,20.38,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,203496,Robert Covington,F,Philadelphia,Boston,R,Y,34.22,3,10,2,7,0,0,1,5,6,0,1,2,2,1,8,14.88,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,203954,Joel Embiid,F-C,Philadelphia,Boston,R,Y,36.82,9,21,1,4,4,5,2,8,10,2,3,1,5,2,23,32.5,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1628365,Markelle Fultz,G,Philadelphia,Boston,R,Y,24.33,2,7,0,0,1,2,0,3,3,2,1,1,3,0,5,18.98,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1627732,Ben Simmons,G-F,Philadelphia,Boston,R,Y,42.73,7,14,0,0,5,10,3,12,15,8,5,4,3,2,19,21.25,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,101161,Amir Johnson,C-F,Philadelphia,Boston,R,N,11.18,1,1,0,0,3,4,0,3,3,1,1,0,0,0,5,10.48,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,200755,JJ Redick,G,Philadelphia,Boston,R,N,29.77,7,17,2,8,0,0,0,2,2,1,1,0,0,0,16,24.23,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,204456,T.J. McConnell,G,Philadelphia,Boston,R,N,22.43,2,5,0,1,0,0,0,1,1,3,3,0,0,0,4,9.46,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1629013,Landry Shamet,G,Philadelphia,Boston,R,N,12.72,0,4,0,2,1,2,0,1,1,0,0,0,0,0,1,16.28,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1628413,Jonah Bolden,F,Philadelphia,Boston,R,N,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1627788,Furkan Korkmaz,G-F,Philadelphia,Boston,R,N,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1628369,Jayson Tatum,F,Boston,Philadelphia,H,Y,28.93,9,17,1,5,4,5,2,7,9,3,2,1,1,0,23,28.61,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,202330,Gordon Hayward,F,Boston,Philadelphia,H,Y,24.62,4,12,1,3,1,2,2,3,5,0,1,4,0,0,10,21.43,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,201143,Al Horford,F-C,Boston,Philadelphia,H,Y,29.95,4,7,0,1,1,1,0,4,4,2,1,0,3,4,9,14.28,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1627759,Jaylen Brown,F,Boston,Philadelphia,H,Y,28.38,5,13,1,3,1,2,3,2,5,2,4,0,2,0,12,22.92,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,202681,Kyrie Irving,G,Boston,Philadelphia,H,Y,29,2,14,1,8,2,2,0,4,4,7,1,0,3,0,7,25.26,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,202694,Marcus Morris,F,Boston,Philadelphia,H,N,20.5,7,12,2,7,0,0,2,8,10,0,5,2,1,0,16,25.98,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1626179,Terry Rozier,G,Boston,Philadelphia,H,N,26.52,5,10,1,2,0,0,0,8,8,1,0,0,1,1,11,16.99,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,203935,Marcus Smart,G,Boston,Philadelphia,H,N,25,2,4,2,4,1,2,0,3,3,3,2,0,2,0,7,11.27,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,203382,Aron Baynes,F-C,Boston,Philadelphia,H,N,19.23,3,7,2,4,0,0,3,1,4,3,3,0,1,0,8,17.04,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1628464,Daniel Theis,F,Boston,Philadelphia,H,N,4.13,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1628400,Semi Ojeleye,F,Boston,Philadelphia,H,N,1.45,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,1627824,Guerschon Yabusele,F,Boston,Philadelphia,H,N,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3+
NBA 2018-2019 Regular Season,21800001,10/16/2018,202954,Brad Wanamaker,G,Boston,Philadelphia,H,N,0.83,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,49.36,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,202331,Paul George,F,Oklahoma City,Golden State,R,Y,37.4,9,23,4,12,5,8,0,2,2,5,3,4,5,0,27,33.36,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,202335,Patrick Patterson,F,Oklahoma City,Golden State,R,Y,18.9,2,9,1,4,2,3,3,2,5,0,0,1,1,1,7,23.7,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,203500,Steven Adams,C,Oklahoma City,Golden State,R,Y,35.6,6,12,0,0,5,8,4,7,11,4,3,2,2,0,17,19.48,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,1628390,Terrance Ferguson,G,Oklahoma City,Golden State,R,Y,26.5,0,2,0,2,0,0,2,2,4,1,3,0,1,0,0,4.48,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,203471,Dennis Schroder,G,Oklahoma City,Golden State,R,Y,34.08,7,19,2,6,5,6,2,6,8,6,4,3,3,1,21,28.61,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,203924,Jerami Grant,F,Oklahoma City,Golden State,R,N,29.1,2,7,1,4,2,4,2,0,2,2,1,0,0,3,7,11.91,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,203518,Alex Abrines,G,Oklahoma City,Golden State,R,N,23.48,3,8,2,6,0,0,0,2,2,0,2,0,0,0,8,13.48,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,101109,Raymond Felton,G,Oklahoma City,Golden State,R,N,13.92,1,5,0,3,4,5,0,3,3,1,0,0,2,0,6,26.16,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,203457,Nerlens Noel,F-C,Oklahoma City,Golden State,R,N,12.4,1,2,0,0,1,2,3,4,7,1,3,1,0,1,3,9.19,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,1628977,Hamidou Diallo,G,Oklahoma City,Golden State,R,N,8.62,2,4,0,0,0,1,0,1,1,1,2,1,0,0,4,20.39,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,201142,Kevin Durant,F,Golden State,Oklahoma City,H,Y,37.72,9,21,0,5,9,10,1,7,8,6,4,1,3,1,27,29.17,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,203110,Draymond Green,F,Golden State,Oklahoma City,H,Y,32.75,1,6,0,1,0,0,1,12,13,5,3,3,6,0,2,14.19,3+
NBA 2018-2019 Regular Season,21800002,10/16/2018,1627745,Damian Jones,C,Golden State,Oklahoma City,H,Y,26.55,6,7,0,0,0,0,2,1,3,2,4,0,2,3,12,13.13,3+
