,playerId,firstName,lastName,country,dateOfBirth,startNba,heightInMeters,weightInKilograms
0,146,Goran,Dragic,Slovenia,1986-05-06,2008,1.9,86.2
1,144,Luka,Doncic,0,0,0,0.0,0.0
3,143,Justin,Doellman,0,0,0,0.0,0.0
5,142,Spencer,Dinwiddie,USA,1993-04-06,2014,1.96,97.5
6,141,Gorgui,Dieng,Senegal,1990-01-18,2013,2.08,114.3
7,140,John,DiBartolomeo,0,0,0,0.0,0.0
8,138,Cheick,Diallo,Mali,1996-09-13,2016,2.03,99.3
9,137,Atoumane,Diagne,0,0,0,0.0,0.0
10,134,Matthew,Dellavedova,Australia,1990-09-08,2013,1.9,90.7
11,133,Malcolm,Delaney,USA,1989-03-11,2016,1.9,86.2
17,130,Robert,Day,0,0,0,0.0,0.0
19,129,Branden,Dawson,United States,1993-02-01,2015,1.98,102.1
21,128,Ed,Davis,USA,1989-06-05,2010,2.06,98.9
26,127,Deyonta,Davis,USA,1996-12-02,2016,2.11,107.5
27,126,Anthony,Davis,USA,1993-03-11,2012,2.08,114.8
29,125,Troy,Daniels,USA,1991-07-15,2013,1.93,90.7
32,124,Stephen,Curry,USA,1988-03-14,2009,1.9,83.9
36,122,Dante,Cunningham,0,0,0,0.0,0.0
40,121,Jae,Crowder,USA,1990-07-06,2012,1.98,106.6
46,120,Jamal,Crawford,USA,1980-03-20,2000,1.96,83.9
53,119,Allen,Crabbe,USA,1992-04-09,2013,1.96,96.2
60,118,Robert,Covington,USA,1990-12-14,2013,2.01,94.8
64,117,DeMarcus,Cousins,0,0,0,0.0,0.0
72,116,Bryce,Cotton,0,0,0,0.0,0.0
75,115,Pat,Connaughton,USA,1993-01-06,2015,1.96,94.8
81,114,Mike,Conley,USA,1987-10-11,2007,1.85,79.4
90,113,Chanan,Colman,0,0,0,0.0,0.0
96,112,Nick,Collison,0,0,0,0.0,0.0
106,111,Darren,Collison,USA,1987-08-23,2009,1.83,79.4
113,110,Norris,Cole,0,0,0,0.0,0.0
122,109,Jordan,Clarkson,USA,1992-06-07,2014,1.93,88.0
131,108,Ian,Clark,USA,1991-03-07,2013,1.9,79.4
147,107,Andrea,Cinciarini,0,0,0,0.0,0.0
158,106,Semaj,Christon,USA,1992-11-01,2016,1.9,86.2
170,105,Rakeem,Christmas,USA,1991-12-01,2015,2.06,113.4
184,104,Marquese,Chriss,USA,1997-07-02,2016,2.06,108.9
196,103,Orane,Chin,0,0,0,0.0,0.0
210,102,Wilson,Chandler,USA,1987-05-10,2007,2.03,106.6
216,101,Tyson,Chandler,USA,1982-10-02,2001,2.13,106.6
229,100,Leandro,Cerminato,0,0,0,0.0,0.0
236,99,Bruno,Cerella,0,0,0,0.0,0.0
242,98,Amir,Celestin,0,0,0,0.0,0.0
246,97,Willie,Cauley-Stein,USA,1993-08-18,2015,2.13,108.9
251,96,Omri,Casspi,Israel,1988-06-22,2009,0.0,0.0
255,95,Michael,Carter-Williams,USA,1991-10-10,2013,1.96,86.2
262,94,Vince,Carter,USA,1977-01-26,1998,1.98,99.8
268,93,DeMarre,Carroll,USA,1986-07-27,2009,1.98,97.5
277,92,Clint,Capela,Switzerland,1994-05-18,2014,2.08,108.9
286,91,Isaiah,Canaan,USA,1991-05-21,2013,0.0,0.0
290,90,Mathias,Calfani,0,0,0,0.0,0.0
296,89,Kentavious,Caldwell-Pope,USA,1993-02-18,2013,1.96,92.5
301,88,Jose,Calderon,0,0,0,0.0,0.0
304,87,Bruno,Caboclo,Brazil,1995-09-21,2014,2.06,98.9
306,86,Jimmy,Butler,USA,1989-09-14,2011,2.01,104.3
311,85,Caron,Butler,USA,1980-03-13,2002,2.01,103.4
316,84,Alec,Burks,USA,1991-07-20,2011,1.98,97.1
317,83,Trey,Burke,USA,1992-11-12,2013,0.0,0.0
319,82,Reggie,Bullock,USA,1991-03-16,2013,1.98,93.0
323,81,Chase,Budinger,USA,1988-05-22,2009,2.01,94.8
325,80,Reggie,Buckner,0,0,0,0.0,0.0
329,79,Kobe,Bryant,USA,1978-08-23,1996,1.98,96.2
332,78,Nicolas,Brussino,Argentina,1993-03-02,2016,2.03,97.5
335,77,Markel,Brown,USA,1992-01-29,2014,1.9,86.2
336,76,Lorenzo,Brown,USA,1990-08-26,2013,1.96,85.7
339,75,Jaylen,Brown,USA,1996-10-24,2016,1.98,101.2
343,74,Bobby,Brown,USA,1984-09-24,2008,1.88,79.4
351,73,Anthony,Brown,0,0,0,0.0,0.0
352,72,Aaron,Brooks,0,0,0,0.0,0.0
354,71,Malcolm,Brogdon,USA,1992-12-11,2016,1.96,103.9
355,70,Corey,Brewer,USA,1986-03-05,2007,2.06,84.4
361,69,Elton,Brand,USA,1979-03-11,1999,2.06,115.2
365,68,Avery,Bradley,USA,1990-11-26,2010,1.9,81.6
369,67,Chris,Bosh,USA,1984-03-24,2003,2.11,106.6
373,65,Trevor,Booker,USA,1987-11-25,2010,2.03,103.4
380,64,Devin,Booker,USA,1996-10-30,2015,1.96,93.4
387,63,Matt,Bonner,USA,1980-04-05,2004,2.08,106.6
391,61,Andrew,Bogut,0,0,0,0.0,0.0
393,60,Bojan,Bogdanovic,Croatia,1989-04-18,2014,2.03,102.5
397,58,Oz,Blayzer,0,0,0,0.0,0.0
402,57,Steve,Blake,USA,1980-02-26,2003,1.9,78.0
405,56,Tarik,Black,0,0,0,0.0,0.0
407,55,Nemanja,Bjelica,Serbia,1988-05-09,2015,2.08,106.1
410,54,Bismack,Biyombo,Democratic Republic of the Congo,1992-08-28,2011,2.03,115.7
412,53,Patrick,Beverley,USA,1988-07-12,2012,1.85,81.6
413,52,Davis,Bertans,Latvia,1992-11-12,2016,2.08,102.1
417,51,Anthony,Bennett,0,0,0,0.0,0.0
420,50,Dragan,Bender,Croatia,1997-11-17,2016,2.13,112.9
423,49,DeAndre',Bembry,USA,1994-07-04,2016,1.96,95.3
424,48,Marco,Belinelli,Italy,1986-03-25,2007,1.96,99.8
